,Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultsScore, ,EventScore
63,64,8478,AntonioPEÑALVER,01DEC1968,ESP,1,,AlhamadeMurcia(ESP),24MAY1992,1200, ,(10.76/+3.9-7.19/+4.0-16.50-2.12-49.50/14.32/+0.8-47.38-5.00-59.32-4:39.94)
64,65,8475,AlekseyDROZDOV,03DEC1983,RUS,4,,"YanmarStadiumNagai,Osaka(JPN)",01SEP2007,1200, ,(10.97/+0.2-7.25/-0.3-16.49-2.12-50.00/14.76/+1.4-48.62-5.00-63.51-4:36.93)
65,66,8471,ZacheryZIEMEK,23FEB1993,USA,3,,"HaywardField,Eugene,OR(USA)",20JUN2021,1199, ,(10.70/+0.8-7.74/+2.3-14.79-2.14-50.89/15.04/+0.9-45.83-5.55-55.72-4:40.69)
66,67,8462,KipJANVRIN,08JUL1965,USA,1,,"Edwardsville,IL(USA)",18JUL1996,1174, ,(10.61/+4.1-7.34/+3.1-14.64-1.96-48.20/14.48/+5.7-45.84-5.00-61.82-4:20.12)
67,68,8461,MikeMACZEY,28SEP1972,GER,7,,Götzis(AUT),04JUN2000,1198, ,(10.99/+0.9-7.59/+0.3-14.75-2.06-49.83/14.16/-1.0-44.56-5.15-62.27-4:29.93)
68,69,8453,AlainBLONDEL,07DEC1962,FRA,1,,"Olympiastadion,Helsinki(FIN)",13AUG1994,1197, ,(11.12/+0.6-7.50/+3.2-13.78-1.99-48.91/14.18/+0.9-45.08-5.40-60.64-4:20.48)
69,69,8453,RomainBARRAS,01AUG1980,FRA,1,,"EstadioOlímpico,Barcelona(ESP)",29JUL2010,1197, ,(11.09/-0.6-7.24/+1.5-15.15-2.04-48.33/14.22/-0.6-44.51-5.05-65.77-4:28.43)
70,71,8447,RobertDEWIT,07AUG1962,NED,1,,Eindhoven(NED),22MAY1988,1172, ,(N/A-N/A-N/A-N/A-N/A/N/A-N/A-N/A-N/A-N/A)
71,72,8445,RamilGANIYEV,23SEP1968,UZB,5,,"OlympicStadium,Athina(GRE)",06AUG1997,1195, ,(10.94/+0.2-7.58/+0.7-14.76-2.06-48.34/14.34/-0.1-46.04-5.30-55.14-4:36.78)
72,72,8445,JohannesERM,26MAR1998,EST,2,,Gävle(SWE),14JUL2019,1195, ,(10.73/+1.9-7.97/-0.7-14.66-2.03-47.41/14.33/+0.2-43.24-4.70-59.60-4:34.04)
73,74,8439,HarrisonWILLIAMS,07MAR1996,USA,1,,"CVEATC,ChulaVista,CA(USA)",25APR2021,1194, ,(10.64/+1.8-7.70/+1.3-14.34-1.93-47.46/14.45/+3.5-48.86-5.12-54.69-4:34.00)
74,75,8437,RišardasMALACHOVSKIS,28APR1965,URS,2,,Staiki(BLR),03JUL1988,1170, ,(N/A-N/A-N/A-N/A-N/A/N/A-N/A-N/A-N/A-N/A)
75,76,8436,DezsőSZABÓ,04SEP1967,HUN,2,,"PoljudStadion,Split(CRO)",29AUG1990,1194, ,(11.06/-0.2-7.49/+1.1-13.65-1.98-47.17/14.67/0.0-40.78-5.30-61.94-4:11.07)
76,77,8430,ThomasVANDERPLAETSEN,24DEC1990,BEL,3,,"Mösle-Stadium,Götzis(AUT)",30MAY2021,1193, ,(11.21/+0.5-7.90/+1.1-13.81-2.09-50.29/14.36/-0.3-46.64-5.40-60.05-4:41.39)
77,78,8429,AleksandrPOGORELOV,10JAN1980,RUS,3,,"Mösle-Stadium,Götzis(AUT)",29MAY2005,1193, ,(10.91/+0.9-7.64/+0.6-16.03-2.09-50.16/14.14/-1.2-48.44-5.10-58.23-4:55.90)
78,79,8425,JeremyTAIWO,15JAN1990,USA,2,,"HaywardField,Eugene,OR(USA)",03JUL2016,1192, ,(10.94/+1.6-7.55/+1.1-14.88-2.21-48.76/14.22/+1.0-42.10-4.75-52.82-4:17.35)
79,80,8424,AleksandrAPAYCHEV,06MAY1961,URS,1,,Kiev(URS),31JUL1988,1168, ,(N/A-N/A-N/A-N/A-N/A/N/A-N/A-N/A-N/A-N/A)
80,81,8415,DaveSTEEN,14NOV1959,CAN,3,,Talence(FRA),17JUL1988,1167, ,(N/A-N/A-N/A-N/A-N/A/N/A-N/A-N/A-N/A-N/A)
81,82,8409,AleksandrNEVSKIY,21FEB1958,URS,3,,Götzis(AUT),26MAY1985,1190, ,(10.95/0.0-7.35/+0.6-14.99-2.08-49.29/14.76/-0.8-46.12-4.60-68.16-4:21.09)
82,83,8406,NicklasWIBERG,16APR1985,SWE,6,,"Olympiastadion,Berlin(GER)",20AUG2009,1189, ,(10.96/-0.4-7.25/-0.4-14.99-2.05-48.73/14.75/+0.3-42.28-4.50-75.02-4:17.05)
83,84,8404,RickyBARKER,14NOV1969,USA,2,,"CollegeStation,TX(USA)",15MAR1996,1189, ,(10.72/+3.2-7.53/+4.0-14.53-2.10-48.60/14.23/+3.0-43.78-5.20-58.88-4:49.56)
84,85,8403,HenrikDAGÅRD,07AUG1969,SWE,4,,Talence(FRA),11SEP1994,1189, ,(10.82/-0.8-7.37/-0.2-14.80-1.97-47.25/14.24/-0.6-43.24-5.00-66.34-4:39.91)
85,86,8400,AleksandrGREBENYUK,22MAY1951,URS,1,,Riga(LAT),03JUL1988,1164, ,(N/A-N/A-N/A-N/A-N/A/N/A-N/A-N/A-N/A-N/A)
